Start	End	Direction	Weight
BCL2	CASP8	0	1
BID	CASP8	0	1
CASP10	CASP8	0	1
CASP2	CASP8	0	1
CASP3	CASP8	0	1
CASP6	CASP8	0	1
CASP7	CASP8	0	1
CASP8	CASP8AP2	0	1
APAF1	CASP9	0	1
BIRC2	CASP9	0	1
BIRC3	CASP9	0	1
BIRC5	CASP9	0	1
BIRC7	CASP9	0	1
CASP3	CASP9	0	1
CASP8	CASP9	0	1
ABL1	CAST	0	1
ADAMTSL4	CATSPER1	0	1
BEGAIN	CATSPER1	0	1
CAV1	CAV2	0	1
ATN1	CBFA2T2	0	1
ATXN1L	CBFA2T2	0	1
ABL1	CBL	0	1
ARHGEF7	CBL	0	1
BCR	CBL	0	1
BLK	CBL	0	1
BTK	CBL	0	1
ARIH2	CBR3	0	1
C17ORF28	CBS	0	1
C11ORF30	CBX1	0	1
ATXN7L2	CBX3	0	1
CBX1	CBX3	0	1
BMI1	CBX4	0	1
ADNP	CBX5	0	1
ARHGDIA	CBX5	0	1
BCL11B	CBX5	0	1
CBX1	CBX5	0	1
CBX3	CBX5	0	1
BMI1	CBX8	0	1
AGTPBP1	CBY1	0	1
ATF4	CCDC106	0	1
C14ORF1	CCDC106	0	1
ATXN1	CCDC136	0	1
ATP5J2	CCDC137	0	1
CCDC101	CCDC158	0	1
ARIH2	CCDC33	0	1
CALCOCO2	CCDC33	0	1
ABI2	CCDC36	0	1
ABI2	CCDC53	0	1
AGGF1	CCDC85B	0	1
AKAP17A	CCDC85B	0	1
AKIRIN2	CCDC85B	0	1
ALS2CR11	CCDC85B	0	1
APEX2	CCDC85B	0	1
AQP1	CCDC85B	0	1
BEX2	CCDC85B	0	1
C10ORF10	CCDC85B	0	1
C16ORF48	CCDC85B	0	1
C19ORF25	CCDC85B	0	1
C1ORF111	CCDC85B	0	1
C1ORF65	CCDC85B	0	1
C20ORF195	CCDC85B	0	1
C21ORF91	CCDC85B	0	1
C7ORF50	CCDC85B	0	1
C8ORF48	CCDC85B	0	1
CARD9	CCDC85B	0	1
CCDC11	CCDC85B	0	1
CCDC112	CCDC85B	0	1
CCDC116	CCDC85B	0	1
CCDC120	CCDC85B	0	1
CCDC33	CCDC85B	0	1
CCDC67	CCDC85B	0	1
BRAF	CCDC88A	0	1
AGR2	CCDC90B	0	1
ANXA7	CCDC90B	0	1
ARL15	CCDC90B	0	1
BTBD2	CCDC90B	0	1
CCK	CCKAR	0	1
ABL1	CCKBR	0	1
CCK	CCKBR	0	1
C14ORF1	CCL18	0	1
CCBP2	CCL2	0	1
CCBP2	CCL27	0	1
AES	CCL7	0	1
CCBP2	CCL7	0	1
BRCA1	CCNA1	0	1
BRCA1	CCNA2	0	1
BRCA1	CCNB1	0	1
AR	CCND1	0	1
BRCA1	CCND1	0	1
ATP5C1	CCND3	0	1
ATP4B	CCNDBP1	0	1
ATXN1	CCNK	0	1
CCDC85B	CCNK	0	1
AFF1	CCNT1	0	1
AFF4	CCNT1	0	1
BRD4	CCNT1	0	1
CCL14	CCR1	0	1
CCL15	CCR1	0	1
CCL16	CCR1	0	1
CCL2	CCR1	0	1
CCL23	CCR1	0	1
CCL3	CCR1	0	1
CCL5	CCR1	0	1
CCL7	CCR1	0	1
CCL2	CCR10	0	1
CCL27	CCR10	0	1
CCL28	CCR10	0	1
CCL2	CCR2	0	1
CCL7	CCR2	0	1
CCL11	CCR3	0	1
CCL5	CCR3	0	1
CCL17	CCR4	0	1
CCL22	CCR4	0	1
CCL5	CCR4	0	1
CCL11	CCR5	0	1
CCL3	CCR5	0	1
CCL3L1	CCR5	0	1
CCL3L3	CCR5	0	1
CCL4	CCR5	0	1
CCL5	CCR5	0	1
CCL8	CCR5	0	1
CCL20	CCR6	0	1
CCL21	CCR7	0	1
CCL1	CCR8	0	1
CCL17	CCR8	0	1
ACTB	CCT2	0	1
ANXA1	CCT7	0	1
ANXA7	CCT7	0	1
ATP5C1	CCT7	0	1
CBL	CD19	0	1
B2M	CD1A	0	1
B2M	CD1B	0	1
B2M	CD1D	0	1
CD19	CD22	0	1
CD2	CD247	0	1
ABL1	CD2AP	0	1
BCAR1	CD2AP	0	1
CBL	CD2AP	0	1
CD2	CD2AP	0	1
CD2	CD2BP2	0	1
AMFR	CD3D	0	1
CANX	CD3D	0	1
CD3D	CD3E	0	1
CD3E	CD3G	0	1
CCR5	CD4	0	1
CD40	CD40LG	0	1
ANK1	CD44	0	1
C3	CD46	0	1
BRIX1	CD48	0	1
CD244	CD48	0	1
CD2	CD58	0	1
C9	CD59	0	1
CD27	CD70	0	1
CD5	CD72	0	1
BLNK	CD79A	0	1
CD79A	CD79B	0	1
CD28	CD80	0	1
CD19	CD81	0	1
CD19	CD82	0	1
CD28	CD86	0	1
CD8A	CD8B	0	1
CD63	CD9	0	1
CD81	CD9	0	1
ANAPC10	CDC16	0	1
ANAPC4	CDC16	0	1
BUB1B	CDC16	0	1
ANAPC1	CDC20	0	1
ANAPC10	CDC20	0	1
ANAPC2	CDC20	0	1
ANAPC5	CDC20	0	1
ANAPC7	CDC20	0	1
BUB1B	CDC20	0	1
CCNA2	CDC20	0	1
CCNB1	CDC20	0	1
CDC16	CDC20	0	1
ANAPC4	CDC23	0	1
CDC20	CDC23	0	1
BTRC	CDC25A	0	1
CCNE1	CDC25A	0	1
CCNB1	CDC25C	0	1
CDC16	CDC26	0	1
ABL1	CDC27	0	1
ANAPC1	CDC27	0	1
ANAPC10	CDC27	0	1
ANAPC11	CDC27	0	1
ANAPC2	CDC27	0	1
ANAPC4	CDC27	0	1
ANAPC5	CDC27	0	1
ANAPC7	CDC27	0	1
APC2	CDC27	0	1
BUB1B	CDC27	0	1
CCNB1	CDC27	0	1
CDC16	CDC27	0	1
CDC20	CDC27	0	1
CDC23	CDC27	0	1
CDC26	CDC27	0	1
BTRC	CDC34	0	1
APOE	CDC37	0	1
APP	CDC37	0	1
BTBD10	CDC37	0	1
C19ORF44	CDC37	0	1
CC2D1A	CDC37	0	1
A2M	CDC42	0	1
AHSG	CDC42	0	1
APOH	CDC42	0	1
ARHGAP1	CDC42	0	1
ARHGAP32	CDC42	0	1
ARHGDIA	CDC42	0	1
ARHGEF11	CDC42	0	1
ARHGEF7	CDC42	0	1
ARRB1	CDC42	0	1
ARRB2	CDC42	0	1
BAIAP2	CDC42	0	1
BNIP2	CDC42	0	1
C14ORF1	CDC42	0	1
CDC42	CDC42BPA	0	1
CDC42	CDC42BPB	0	1
CDC42	CDC42EP1	0	1
ARHGAP26	CDC42EP2	0	1
CDC42	CDC42EP2	0	1
CDC42	CDC42EP3	0	1
CDC42	CDC42EP4	0	1
CDC42	CDC42EP5	0	1
CDC42	CDC42SE1	0	1
AKAP6	CDC5L	0	1
AKAP9	CDC5L	0	1
CCDC136	CDC5L	0	1
CCNA2	CDC6	0	1
ANXA6	CDC73	0	1
BCL9	CDC73	0	1
AURKB	CDCA8	0	1
BIRC5	CDCA8	0	1
CBLL1	CDH1	0	1
CDC27	CDH1	0	1
ATF7IP	CDH11	0	1
CDH18	CDH6	0	1
AR	CDK1	0	1
BCL2	CDK1	0	1
BIRC5	CDK1	0	1
CCNA1	CDK1	0	1
CCNA2	CDK1	0	1
CCNB1	CDK1	0	1
CCNB2	CDK1	0	1
CCNE1	CDK1	0	1
CDC25B	CDK1	0	1
CDC25C	CDK1	0	1
CCNL1	CDK11A	0	1
CCNL2	CDK11B	0	1
ACVR1	CDK14	0	1
BMPR1B	CDK14	0	1
BAG6	CDK16	0	1
CCDC85B	CDK18	0	1
CCNK	CDK18	0	1
BRCA1	CDK2	0	1
BRCA2	CDK2	0	1
CCNA1	CDK2	0	1
CCNA2	CDK2	0	1
CCNB1	CDK2	0	1
CCNB2	CDK2	0	1
CCND1	CDK2	0	1
CCNE1	CDK2	0	1
CCNE2	CDK2	0	1
CCNH	CDK2	0	1
CCNK	CDK2	0	1
CDC25A	CDK2	0	1
CDC25B	CDK2	0	1
CDC6	CDK2	0	1
A2M	CDK2AP2	0	1
CABLES1	CDK3	0	1
ANXA7	CDK4	0	1
APLP1	CDK4	0	1
ATP5B	CDK4	0	1
BAG6	CDK4	0	1
BMPR1B	CDK4	0	1
BRCA1	CDK4	0	1
CAPNS1	CDK4	0	1
CCND1	CDK4	0	1
CCND2	CDK4	0	1
CCND3	CDK4	0	1
CDC37	CDK4	0	1
CDC45	CDK4	0	1
CDC7	CDK4	0	1
ALAS1	CDK5	0	1
APP	CDK5	0	1
BAG6	CDK5	0	1
CABLES1	CDK5	0	1
CDC37	CDK5	0	1
CDK5	CDK5R1	0	1
CDK5R1	CDK5RAP1	0	1
ABCA2	CDK5RAP2	0	1
C14ORF1	CDK5RAP2	0	1
CDK5R1	CDK5RAP2	0	1
CDK5R1	CDK5RAP3	0	1
ATXN1	CDK6	0	1
CCND1	CDK6	0	1
CCND3	CDK6	0	1
CCNH	CDK7	0	1
CDK1	CDK7	0	1
CDK2	CDK7	0	1
CCNC	CDK8	0	1
AFF1	CDK9	0	1
AFF4	CDK9	0	1
BRD4	CDK9	0	1
CCNK	CDK9	0	1
CCNT1	CDK9	0	1
CCNT2	CDK9	0	1
ABL1	CDKL5	0	1
A1BG	CDKN1A	0	1
A2M	CDKN1A	0	1
ACTB	CDKN1A	0	1
ACTL6B	CDKN1A	0	1
ADAMTS10	CDKN1A	0	1
ALAS1	CDKN1A	0	1
ANGPT2	CDKN1A	0	1
APLP1	CDKN1A	0	1
ATP5B	CDKN1A	0	1
ATP6V1A	CDKN1A	0	1
ATXN3	CDKN1A	0	1
BAG6	CDKN1A	0	1
BCCIP	CDKN1A	0	1
C1ORF123	CDKN1A	0	1
CASP3	CDKN1A	0	1
CCDC85B	CDKN1A	0	1
CCNA1	CDKN1A	0	1
CCNA2	CDKN1A	0	1
CCNB1	CDKN1A	0	1
CCNB2	CDKN1A	0	1
CCND1	CDKN1A	0	1
CCND2	CDKN1A	0	1
CCND3	CDKN1A	0	1
CCNE1	CDKN1A	0	1
CCNE2	CDKN1A	0	1
CCT7	CDKN1A	0	1
CDC45	CDKN1A	0	1
CDC5L	CDKN1A	0	1
CDC6	CDKN1A	0	1
CDC7	CDKN1A	0	1
CDK2	CDKN1A	0	1
CDK4	CDKN1A	0	1
CDK6	CDKN1A	0	1
AKT1	CDKN1B	0	1
ARHGDIA	CDKN1B	0	1
CCNA1	CDKN1B	0	1
CCNA2	CDKN1B	0	1
CCND1	CDKN1B	0	1
CCND2	CDKN1B	0	1
CCND3	CDKN1B	0	1
CCNE1	CDKN1B	0	1
CCNE2	CDKN1B	0	1
CDK2	CDKN1B	0	1
CDK4	CDKN1B	0	1
CDC45	CDKN2A	0	1
CDC5L	CDKN2A	0	1
CDC6	CDKN2A	0	1
CDC7	CDKN2A	0	1
CDK4	CDKN2A	0	1
CDK6	CDKN2A	0	1
ARPC3	CDKN2B	0	1
CCDC90B	CDKN2B	0	1
CDK4	CDKN2B	0	1
APLP1	CDKN2C	0	1
CCDC90B	CDKN2C	0	1
CDK4	CDKN2C	0	1
CDK6	CDKN2C	0	1
C1ORF94	CDKN2D	0	1
CDK4	CDKN2D	0	1
CDK6	CDKN2D	0	1
CDK1	CDKN3	0	1
CDK2	CDKN3	0	1
CCNA1	CDT1	0	1
CDC5L	CDT1	0	1
CDC6	CDT1	0	1
ATF2	CEBPA	0	1
ATF4	CEBPA	0	1
ATF5	CEBPA	0	1
ATF7	CEBPA	0	1
BATF	CEBPA	0	1
BATF3	CEBPA	0	1
ATF4	CEBPB	0	1
ATF5	CEBPB	0	1
ATF7	CEBPB	0	1
BATF	CEBPB	0	1
BATF3	CEBPB	0	1
CEBPA	CEBPB	0	1
ATF4	CEBPD	0	1
ATF5	CEBPD	0	1
BATF	CEBPD	0	1
BATF3	CEBPD	0	1
CEBPA	CEBPD	0	1
CEBPB	CEBPD	0	1
ALX4	CEBPE	0	1
ATF4	CEBPE	0	1
BATF	CEBPE	0	1
BATF3	CEBPE	0	1
CEBPA	CEBPE	0	1
CEBPB	CEBPE	0	1
CEBPD	CEBPE	0	1
ATF2	CEBPG	0	1
ATF3	CEBPG	0	1
ATF4	CEBPG	0	1
ATF5	CEBPG	0	1
ATF7	CEBPG	0	1
BATF	CEBPG	0	1
BATF3	CEBPG	0	1
CEBPA	CEBPG	0	1
CEBPB	CEBPG	0	1
CEBPD	CEBPG	0	1
CEBPE	CEBPG	0	1
