Start	End	Direction	Weight
CDK1	CDK7	1	1
CDK2	CDK7	1	1
CCNC	CDK8	1	1
AFF4	CDK9	1	1
CCNK	CDK9	1	1
CCNT1	CDK9	1	1
CCNT2	CDK9	1	1
ABL1	CDKL5	1	1
A1BG	CDKN1A	1	1
A2M	CDKN1A	1	1
ACTB	CDKN1A	1	1
ACTL6B	CDKN1A	1	1
ADAMTS10	CDKN1A	1	1
ALAS1	CDKN1A	1	1
ANGPT2	CDKN1A	1	1
APLP1	CDKN1A	1	1
ATP5B	CDKN1A	1	1
ATP6V1A	CDKN1A	1	1
ATXN3	CDKN1A	1	1
BAG6	CDKN1A	1	1
BCCIP	CDKN1A	1	1
C1ORF123	CDKN1A	1	1
CASP3	CDKN1A	1	1
CCDC85B	CDKN1A	1	1
CCNA1	CDKN1A	1	1
CCNA2	CDKN1A	1	1
CCNB1	CDKN1A	1	1
CCNB2	CDKN1A	1	1
CCND1	CDKN1A	1	1
CCND2	CDKN1A	1	1
CCND3	CDKN1A	1	1
CCNE1	CDKN1A	1	1
CCNE2	CDKN1A	1	1
CCT7	CDKN1A	1	1
CDC45	CDKN1A	1	1
CDC5L	CDKN1A	1	1
CDC6	CDKN1A	1	1
CDC7	CDKN1A	1	1
CDK2	CDKN1A	1	1
CDK4	CDKN1A	1	1
CDK6	CDKN1A	1	1
AKT1	CDKN1B	1	1
ARHGDIA	CDKN1B	1	1
CCNA1	CDKN1B	1	1
CCNA2	CDKN1B	1	1
CCND1	CDKN1B	1	1
CCND2	CDKN1B	1	1
CCND3	CDKN1B	1	1
CCNE2	CDKN1B	1	1
CDK2	CDKN1B	1	1
CDK4	CDKN1B	1	1
CDC45	CDKN2A	1	1
CDC5L	CDKN2A	1	1
CDC6	CDKN2A	1	1
CDC7	CDKN2A	1	1
CDK4	CDKN2A	1	1
CDK6	CDKN2A	1	1
ARPC3	CDKN2B	1	1
CCDC90B	CDKN2B	1	1
CDK4	CDKN2B	1	1
APLP1	CDKN2C	1	1
CCDC90B	CDKN2C	1	1
CDK6	CDKN2C	1	1
C1ORF94	CDKN2D	1	1
CDK4	CDKN2D	1	1
CDK6	CDKN2D	1	1
CDK1	CDKN3	1	1
CDK2	CDKN3	1	1
CDC5L	CDT1	1	1
CDC6	CDT1	1	1
ATF2	CEBPA	1	1
ATF4	CEBPA	1	1
